original_text,processed_text,label,label_id,token_count
Youtube ar volg gula boring hoia jaitase din din. Onk din por ai volg ta dakhe val laglo,youtube ar volg gula boring hoia jaitase din din onk din por ai volg ta dakhe val laglo,Mixed,3,18
"Your video making, camera work is really good. I think, if you wear a colored rubber gloves while showing the installation of parts, then it will look more freshclean. Dont take it other way but showing fingersnails in a close shot doesnt look good although your hands are really clean. This is just a suggestion which might add value to your viewers. You can do trail and error before publishing your next video. Dhoren chhoto ekta shote 2 vabe niye dekhlen, mane gloves shoho, ar gloves chhara. Hope you dont mind",your video making camera work is really good i think if you wear a colored rubber gloves while showing the installation of parts then it will look more freshclean dont take it other way but showing fingersnails in a close shot doesnt look good although your hands are really clean this is just a suggestion which might add value to your viewers you can do trail and error before publishing your next video dhoren chhoto ekta shote 2 vabe niye dekhlen mane gloves shoho ar gloves chhara hope you dont mind,Mixed,3,91
You made me nostalgic. College life a ei dokan er paas diye roj jetam. Khawar sotti khub e bhalo,you made me nostalgic college life a ei dokan er paas diye roj jetam khawar sotti khub e bhalo,Mixed,3,19
"Workshop ta engaging, but resources ta insufficient.",workshop ta engaging but resources ta insufficient,Mixed,3,7
Win hoy nay but anek valo khelecu,win hoy nay but anek valo khelecu,Mixed,3,7
Wifi use kora jayna vlo vabe. Speed khub e baje. Ekdon rawder er kase thekew tmn speed pawya jay na. Dure gele to net e pay na. Er theke symphony e vlo phn,wifi use kora jayna vlo vabe speed khub e baje ekdon rawder er kase thekew tmn speed pawya jay na dure gele to net e pay na er theke symphony e vlo phn,Mixed,3,33
West bengal er best food vlogger dadar subscribe je keno increase korchena. Ekdom bujhina eto altu faltu channel grow korche vogoban er kache asa korbo. Khub taratari 100k hobe,west bengal er best food vlogger dadar subscribe je keno increase korchena ekdom bujhina eto altu faltu channel grow korche vogoban er kache asa korbo khub taratari 100k hobe,Mixed,3,29
"Well infinix brand ta oppo , vivo , techno theke far better in budget segment , i have been using hot 11s for a long time almost 2 year and i didnt face any lagging issu haa , 11 month er mathay etae ekta problem dekha dae bar bar reset near but oder customer service tao bhalo jaoar shathe shathe amar phone ta received kore then thik kore dae. So ami bolbo budger er moddhe phn nile infinix choose korte. But bole rakhi ei brand jiboneo apnare android update dibena , but regular security update dibe ar camerao bhalo na oder",well infinix brand ta oppo vivo techno theke far better in budget segment i have been using hot 11s for a long time almost 2 year and i didnt face any lagging issu haa 11 month er mathay etae ekta problem dekha dae bar bar reset near but oder customer service tao bhalo jaoar shathe shathe amar phone ta received kore then thik kore dae so ami bolbo budger er moddhe phn nile infinix choose korte but bole rakhi ei brand jiboneo apnare android update dibena but regular security update dibe ar camerao bhalo na oder,Mixed,3,96
"Weekend a eto chill korlam, but Monday e phire ashle onek kaaj.",weekend a eto chill korlam but monday e phire ashle onek kaaj,Mixed,3,12
"Weather ta bhalo, but traffic jam ta bhorer dike shesh hoy nai.",weather ta bhalo but traffic jam ta bhorer dike shesh hoy nai,Mixed,3,12
"Weather ta bhalo, but pollution onek beshi",weather ta bhalo but pollution onek beshi,Mixed,3,7
"weather forecast dekhe khushi hoye berolam, ekhon dekhi brishti",weather forecast dekhe khushi hoye berolam ekhon dekhi brishti,Mixed,3,9
walton valo kaj korche onek age thekei dam er jonno market dhorte pare na,walton valo kaj korche onek age thekei dam er jonno market dhorte pare na,Mixed,3,14
Walton phone er brand value tulonamulok kom thakai long time use e kemon performance dibe ta bola aktu kothin. Aita chara phone er motamuti sob kichu thik e ache,walton phone er brand value tulonamulok kom thakai long time use e kemon performance dibe ta bola aktu kothin aita chara phone er motamuti sob kichu thik e ache,Mixed,3,29
Walton onk valo valo phone ber korese. Kin2 desi brand a karo support nai,walton onk valo valo phone ber korese kin2 desi brand a karo support nai,Mixed,3,14
walton mobile. Vai apnar onk purono viwer kinto kokhono apnar giveaway jiti nai,walton mobile vai apnar onk purono viwer kinto kokhono apnar giveaway jiti nai,Mixed,3,13
Walton din din khub valo korteche. Ar xiaomi din din biluptir poth ee. Phone er moto hal hobe mone hocche,walton din din khub valo korteche ar xiaomi din din biluptir poth ee phone er moto hal hobe mone hocche,Mixed,3,20
