Sentence,Label
Youtube ar volg gula boring hoia jaitase din din. Onk din por ai volg ta dakhe val laglo,3
"Your video making, camera work is really good. I think, if you wear a colored rubber gloves while showing the installation of parts, then it will look more freshclean. Dont take it other way but showing fingersnails in a close shot doesnt look good although your hands are really clean. This is just a suggestion which might add value to your viewers. You can do trail and error before publishing your next video. Dhoren chhoto ekta shote 2 vabe niye dekhlen, mane gloves shoho, ar gloves chhara. Hope you dont mind",3
You made me nostalgic. College life a ei dokan er paas diye roj jetam. Khawar sotti khub e bhalo,3
"Workshop ta engaging, but resources ta insufficient.",3
Win hoy nay but anek valo khelecu,3
Wifi use kora jayna vlo vabe. Speed khub e baje. Ekdon rawder er kase thekew tmn speed pawya jay na. Dure gele to net e pay na. Er theke symphony e vlo phn,3
West bengal er best food vlogger dadar subscribe je keno increase korchena. Ekdom bujhina eto altu faltu channel grow korche vogoban er kache asa korbo. Khub taratari 100k hobe,3
"Well infinix brand ta oppo , vivo , techno theke far better in budget segment , i have been using hot 11s for a long time almost 2 year and i didnt face any lagging issu haa , 11 month er mathay etae ekta problem dekha dae bar bar reset near but oder customer service tao bhalo jaoar shathe shathe amar phone ta received kore then thik kore dae. So ami bolbo budger er moddhe phn nile infinix choose korte. But bole rakhi ei brand jiboneo apnare android update dibena , but regular security update dibe ar camerao bhalo na oder",3
"Weekend a eto chill korlam, but Monday e phire ashle onek kaaj.",3
"Weather ta bhalo, but traffic jam ta bhorer dike shesh hoy nai.",3
"Weather ta bhalo, but pollution onek beshi",3
"weather forecast dekhe khushi hoye berolam, ekhon dekhi brishti",3
walton valo kaj korche onek age thekei dam er jonno market dhorte pare na,3
Walton phone er brand value tulonamulok kom thakai long time use e kemon performance dibe ta bola aktu kothin. Aita chara phone er motamuti sob kichu thik e ache,3
Walton onk valo valo phone ber korese. Kin2 desi brand a karo support nai,3
walton mobile. Vai apnar onk purono viwer kinto kokhono apnar giveaway jiti nai,3
Walton din din khub valo korteche. Ar xiaomi din din biluptir poth ee. Phone er moto hal hobe mone hocche,3
Walton day by day akta reliable brand hocche tai bhalo laglo. Aga jamon manus ar mone hoto walton kinle phone nosto hobe aita akhn bola jabe na ar. Tader software ta optimised korle ar bhalo camera dile aro bhalo hoto. Ar bhai redmi 12 5g ar review diyen,3
Voice sound bhalo but aktu besi hoile aro valo hoito,3
Vloi but offer dai na,3
Vloi bt cash out korte 15 takar jaigai 18.50 paisa nei,3
Vlo tobe eto update chai keno? withdraw charge ta beshi eta komanu uchit,3
vlo nah abar vlo,3
"Vlo laga ,, but kichu kichu somoy app ta kub slow hoya jai",3
Vlo kintu airtel er net khub e kharp,3
Vlo hoyse but aro offer dite hobe,3
Vlo but tmn na,3
Vlo but kiso gift korte gele sim & gp internet use korte hoy ei bepar ta khob baje lagche..,3
vlo bt tk khay base,3
vlo bt ato update chay tai khub akta satisfied na,3
Vlo app..bt rateing rateing kore matha khatap kore . dicce..tai dilam,3
Vlo app but ekhon onk jamela kore,3
Vlo akta apps Kintu pak kinte taka beshi lage,3
video te er ektu improve hola vlo hto trpr o budget a best,3
Video ta onek valo hoise. Asolei prai somoi erokom problem e pore jai onek manush. Karon jauar aga toh kau menu prices esob dekhe jai na. But jaur por jodi dekhe atto price tokhon onek somoi feshe jai. Jodi girlfriend thake tahole hoise kam. Man ijjot nia tanatani. Tokhon 100 takar niche khabar golo ordee korle man ijjot kisuta bachbe,3
Video ta gorom er shurute deya uchit cilo apner ! ekhon diye r ki fayda bolun ! dhonnobad!,3
Video onek jayga tei blur ashtese jemon 1707. Then abar thik hoye jay love your content,3
