sample_id,original_text,processed_text,label,label_id,token_count
0,Youtube ar volg gula boring hoia jaitase din din. Onk din por ai volg ta dakhe val laglo,youtube ar volg gula boring hoia jaitase din din onk din por ai volg ta dakhe val laglo,Mixed,3,18
2,You made me nostalgic. College life a ei dokan er paas diye roj jetam. Khawar sotti khub e bhalo,you made me nostalgic college life a ei dokan er paas diye roj jetam khawar sotti khub e bhalo,Mixed,3,19
3,"Workshop ta engaging, but resources ta insufficient.",workshop ta engaging but resources ta insufficient,Mixed,3,7
5,Wifi use kora jayna vlo vabe. Speed khub e baje. Ekdon rawder er kase thekew tmn speed pawya jay na. Dure gele to net e pay na. Er theke symphony e vlo phn,wifi use kora jayna vlo vabe speed khub e baje ekdon rawder er kase thekew tmn speed pawya jay na dure gele to net e pay na er theke symphony e vlo phn,Mixed,3,33
6,West bengal er best food vlogger dadar subscribe je keno increase korchena. Ekdom bujhina eto altu faltu channel grow korche vogoban er kache asa korbo. Khub taratari 100k hobe,west bengal er best food vlogger dadar subscribe je keno increase korchena ekdom bujhina eto altu faltu channel grow korche vogoban er kache asa korbo khub taratari 100k hobe,Mixed,3,29
7,"Well infinix brand ta oppo , vivo , techno theke far better in budget segment , i have been using hot 11s for a long time almost 2 year and i didnt face any lagging issu haa , 11 month er mathay etae ekta problem dekha dae bar bar reset near but oder customer service tao bhalo jaoar shathe shathe amar phone ta received kore then thik kore dae. So ami bolbo budger er moddhe phn nile infinix choose korte. But bole rakhi ei brand jiboneo apnare android update dibena , but regular security update dibe ar camerao bhalo na oder",well infinix brand ta oppo vivo techno theke far better in budget segment i have been using hot 11s for a long time almost 2 year and i didnt face any lagging issu haa 11 month er mathay etae ekta problem dekha dae bar bar reset near but oder customer service tao bhalo jaoar shathe shathe amar phone ta received kore then thik kore dae so ami bolbo budger er moddhe phn nile infinix choose korte but bole rakhi ei brand jiboneo apnare android update dibena but regular security update dibe ar camerao bhalo na oder,Mixed,3,96
9,"Weather ta bhalo, but traffic jam ta bhorer dike shesh hoy nai.",weather ta bhalo but traffic jam ta bhorer dike shesh hoy nai,Mixed,3,12
10,"Weather ta bhalo, but pollution onek beshi",weather ta bhalo but pollution onek beshi,Mixed,3,7
11,"weather forecast dekhe khushi hoye berolam, ekhon dekhi brishti",weather forecast dekhe khushi hoye berolam ekhon dekhi brishti,Mixed,3,9
12,walton valo kaj korche onek age thekei dam er jonno market dhorte pare na,walton valo kaj korche onek age thekei dam er jonno market dhorte pare na,Mixed,3,14
15,walton mobile. Vai apnar onk purono viwer kinto kokhono apnar giveaway jiti nai,walton mobile vai apnar onk purono viwer kinto kokhono apnar giveaway jiti nai,Mixed,3,13
18,Voice sound bhalo but aktu besi hoile aro valo hoito,voice sound bhalo but aktu besi hoile aro valo hoito,Mixed,3,10
23,"Vlo laga ,, but kichu kichu somoy app ta kub slow hoya jai",vlo laga but kichu kichu somoy app ta kub slow hoya jai,Mixed,3,12
24,Vlo kintu airtel er net khub e kharp,vlo kintu airtel er net khub e kharp,Mixed,3,8
25,Vlo hoyse but aro offer dite hobe,vlo hoyse but aro offer dite hobe,Mixed,3,7
27,Vlo but kiso gift korte gele sim & gp internet use korte hoy ei bepar ta khob baje lagche..,vlo but kiso gift korte gele sim gp internet use korte hoy ei bepar ta khob baje lagche,Mixed,3,18
28,vlo bt tk khay base,vlo bt tk khay base,Mixed,3,5
29,vlo bt ato update chay tai khub akta satisfied na,vlo bt ato update chay tai khub akta satisfied na,Mixed,3,10
30,Vlo app..bt rateing rateing kore matha khatap kore . dicce..tai dilam,vlo app bt rateing rateing kore matha khatap kore dicce tai dilam,Mixed,3,12
31,Vlo app but ekhon onk jamela kore,vlo app but ekhon onk jamela kore,Mixed,3,7
32,Vlo akta apps Kintu pak kinte taka beshi lage,vlo akta apps kintu pak kinte taka beshi lage,Mixed,3,9
33,video te er ektu improve hola vlo hto trpr o budget a best,video te er ektu improve hola vlo hto trpr o budget a best,Mixed,3,13
36,Video onek jayga tei blur ashtese jemon 1707. Then abar thik hoye jay love your content,video onek jayga tei blur ashtese jemon 1707 then abar thik hoye jay love your content,Mixed,3,16
38,"Vhai, phn kinar samortho nei, tau apnr sob video, dekhi share kori, apnr jonno suvokamona",vhai phn kinar samortho nei tau apnr sob video dekhi share kori apnr jonno suvokamona,Mixed,3,15
39,Vedio ta onek help full amar jonno jodi o ba gift na pai,vedio ta onek help full amar jonno jodi o ba gift na pai,Mixed,3,13
41,"Vdo ta onk besi sundor hoic, mod of cilo seen ta dekhe onk fresh lagc,tnx apu. Amon frnd lyf a thakl j kno place i enjoy kora jay. Aj keu nai,fmly prbm tai aisob tour vlog i santi. Apu haor a namar por to cul vije gece sathe sathei ki hijab porco. Jara hijab kori aisob short tour a cul vijale kivab early sukhano jay plz tips dao?last seen a tmr saree pora 1ta seen rakhle vdo ta ro sundor hoto i think",vdo ta onk besi sundor hoic mod of cilo seen ta dekhe onk fresh lagc tnx apu amon frnd lyf a thakl j kno place i enjoy kora jay aj keu nai fmly prbm tai aisob tour vlog i santi apu haor a namar por to cul vije gece sathe sathei ki hijab porco jara hijab kori aisob short tour a cul vijale kivab early sukhano jay plz tips dao last seen a tmr saree pora 1ta seen rakhle vdo ta ro sundor hoto i think,Mixed,3,86
42,valoo. bt tk kom katle aroo valoo hoitoo,valoo bt tk kom katle aroo valoo hoitoo,Mixed,3,8
43,valoi...tobe kono kono somoy charge aktu basi kate.... vai ato update dite hoy kno buji na ami....protidin oi update dite hoy.. aita kono hoilo,valoi tobe kono kono somoy charge aktu basi kate vai ato update dite hoy kno buji na ami protidin oi update dite hoy aita kono hoilo,Mixed,3,26
44,valoi tobe maje maje bal kono sms ase na,valoi tobe maje maje bal kono sms ase na,Mixed,3,9
45,"valoi lage,tobe jodi aro kom dame internet offer dewa hoto,tobe valo hoto",valoi lage tobe jodi aro kom dame internet offer dewa hoto tobe valo hoto,Mixed,3,14
47,"valoi but update dite baddho korar bisoyta valo lageni, aj khub emergencyte app open korte parlam na without update. update korar porer open hosche na, time nische tar upor cash out ar otirikto fee to asei",valoi but update dite baddho korar bisoyta valo lageni aj khub emergencyte app open korte parlam na without update update korar porer open hosche na time nische tar upor cash out ar otirikto fee to asei,Mixed,3,36
48,Valoi but amar sim cnct korlei offer pai na,valoi but amar sim cnct korlei offer pai na,Mixed,3,9
49,Valo.but.thik moto kaj korte chai... na....borring,valo but thik moto kaj korte chai na borring,Mixed,3,9
51,ValO..tobe offer dey na tmn,valo tobe offer dey na tmn,Mixed,3,6
52,Valo...kintu protidin er offer gula dekhay na,valo kintu protidin er offer gula dekhay na,Mixed,3,8
54,valo.... tobe aro valo valo off deya ucit,valo tobe aro valo valo off deya ucit,Mixed,3,8
55,valo.... kintu star theke down hoilam kamne? every day 100 tk use korar por ? ??,valo kintu star theke down hoilam kamne every day 100 tk use korar por,Mixed,3,14
